"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Apr 2022","Cumulative: Travel","Cumulative","Travel",150.00$,-410.35$,0.00$
"Apr 2022","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget",0.00$,0.00$,0.00$
"Apr 2022","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work",0.00$,-8.81$,-8.81$
"Apr 2022","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work",0.00$,-169.88$,95.26$
"Apr 2022","Tax Deductible: Medical","Tax Deductible","Medical",0.00$,-252.20$,625.09$
"Apr 2022","Tax Deductible: God's Money","Tax Deductible","God's Money",500.00$,-139.00$,701.12$
"Apr 2022","Savings: RESP","Savings","RESP",0.00$,0.00$,0.00$
"Apr 2022","Savings: Retirement","Savings","Retirement",0.00$,0.00$,0.00$
"Apr 2022","Savings: Emergency Fund","Savings","Emergency Fund",0.00$,0.00$,1369.82$
"Apr 2022","Savings: House","Savings","House",0.00$,0.00$,59257.00$
"Apr 2022","Savings: Investment Gain/Loss","Savings","Investment Gain/Loss",0.00$,0.00$,0.00$
"Apr 2022","Savings: Savings Expenses","Savings","Savings Expenses",0.00$,0.00$,0.00$
"Apr 2022","Hidden Categories: Rent","Hidden Categories","Rent",1480.00$,-1480.00$,0.00$
"Apr 2022","Hidden Categories: Hydro","Hidden Categories","Hydro",50.00$,-34.62$,60.46$
"Apr 2022","Hidden Categories: Moving & Home Setup","Hidden Categories","Moving & Home Setup",0.00$,0.00$,0.00$
"Apr 2022","Hidden Categories: Alcohol","Hidden Categories","Alcohol",0.00$,-65.59$,59.41$
"Apr 2022","Hidden Categories: Vivian COGS","Hidden Categories","Vivian COGS",0.00$,0.00$,0.00$
"Apr 2022","Hidden Categories: Income Tax and HST","Hidden Categories","Income Tax and HST",500.00$,-5754.98$,-3694.98$
"Apr 2022","Hidden Categories: Moving Out Fund","Hidden Categories","Moving Out Fund",630.00$,0.00$,10880.00$
"Apr 2022","Hidden Categories: Publishing","Hidden Categories","Publishing",0.00$,0.00$,6615.00$
"Apr 2022","Hidden Categories: Tuition","Hidden Categories","Tuition",0.00$,0.00$,1642.44$
"May 2022","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",0.00$,-887.80$,1024.66$
"May 2022","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"May 2022","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"May 2022","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
